NU_ANO;NU_IDADE
2025;19
2025;19
2025;20
2025;20
2025;20
2025;20
2025;20
2025;20
2025;20
2025;20
2025;20
2025;21
2025;21
2025;21
2025;21
2025;21
2025;21
2025;21
2025;21
2025;21
2025;21
2025;21
2025;21
2025;21
2025;21
2025;21
2025;21
2025;21
2025;21
2025;21
2025;21
2025;21
2025;21
2025;21
2025;21
2025;21
2025;21
2025;21
2025;21
2025;21
2025;21
2025;21
2025;21
2025;21
2025;21
2025;21
2025;21
2025;21
2025;21
2025;21
2025;22
2025;22
2025;22
2025;22
2025;22
2025;22
2025;22
2025;22
2025;22
2025;22
2025;22
2025;22
2025;22
2025;22
2025;22
2025;22
2025;22
2025;22
2025;22
2025;22
2025;22
2025;22
2025;22
2025;22
2025;22
2025;22
2025;22
2025;22
2025;22
2025;22
2025;22
2025;22
2025;22
2025;22
2025;22
2025;22
2025;22
2025;22
2025;22
2025;22
2025;22
2025;22
2025;22
2025;22
2025;22
2025;22
2025;22
2025;22
2025;22
2025;22
2025;22
2025;22
2025;22
2025;22
2025;22
2025;22
2025;22
2025;22
2025;22
2025;22
2025;22
2025;22
2025;22
2025;22
2025;22
2025;22
2025;22
2025;22
2025;22
2025;22
2025;22
2025;22
2025;22
2025;22
2025;22
2025;22
2025;22
2025;22
2025;22
2025;22
2025;22
2025;22
2025;22
2025;22
2025;22
2025;22
2025;22
2025;22
2025;22
2025;22
2025;22
2025;22
2025;22
2025;22
2025;22
2025;22
2025;22
2025;22
2025;22
2025;22
2025;22
2025;22
2025;22
2025;22
2025;22
2025;22
2025;22
2025;22
2025;22
2025;22
2025;22
2025;22
2025;22
2025;22
2025;22
2025;22
2025;22
2025;22
2025;22
2025;22
2025;22
2025;22
2025;22
2025;22
2025;22
2025;22
2025;22
2025;22
2025;22
2025;22
2025;22
2025;22
2025;22
2025;22
2025;22
2025;22
2025;22
2025;22
2025;22
2025;22
2025;22
2025;22
2025;22
2025;22
2025;22
2025;22
2025;22
2025;22
2025;22
2025;22
2025;22
2025;22
2025;22
2025;22
2025;22
2025;22
2025;22
2025;22
2025;22
2025;22
2025;22
2025;22
2025;22
2025;22
2025;22
2025;22
2025;22
2025;22
2025;22
2025;22
2025;22
2025;22
2025;22
2025;22
2025;22
2025;22
2025;22
2025;22
2025;22
2025;22
2025;22
2025;22
2025;22
2025;22
2025;22
2025;22
2025;22
2025;22
2025;22
2025;22
2025;22
2025;22
2025;22
2025;22
2025;22
2025;22
2025;22
2025;22
2025;22
2025;22
2025;22
2025;22
2025;22
2025;22
2025;22
2025;22
2025;22
2025;22
2025;22
2025;22
2025;22
2025;22
2025;22
2025;22
2025;22
2025;22
2025;22
2025;22
2025;22
2025;22
2025;22
2025;22
2025;22
2025;22
2025;22
2025;22
2025;22
2025;22
2025;22
2025;22
2025;22
2025;22
2025;22
2025;22
2025;22
2025;22
2025;22
2025;22
2025;22
2025;22
2025;22
2025;22
2025;22
2025;22
2025;22
2025;22
2025;22
2025;22
2025;22
2025;22
2025;22
2025;22
2025;22
2025;22
2025;22
2025;22
2025;22
2025;22
2025;22
2025;22
2025;22
2025;22
2025;22
2025;22
2025;22
2025;22
2025;22
2025;22
2025;22
2025;22
2025;22
2025;22
2025;22
2025;22
2025;22
2025;22
2025;22
2025;22
2025;22
2025;22
2025;22
2025;22
2025;22
2025;22
2025;22
2025;22
2025;22
2025;22
2025;22
2025;22
2025;22
2025;22
2025;22
2025;22
2025;22
2025;22
2025;22
2025;22
2025;22
2025;22
2025;22
2025;22
2025;22
2025;22
2025;22
2025;22
2025;22
2025;22
2025;22
2025;22
2025;22
2025;22
2025;22
2025;22
2025;22
2025;22
2025;22
2025;22
2025;22
2025;22
2025;22
2025;22
2025;22
2025;22
2025;22
2025;22
2025;22
2025;22
2025;22
2025;22
2025;22
2025;23
2025;23
2025;23
2025;23
2025;23
2025;23
2025;23
2025;23
2025;23
2025;23
2025;23
2025;23
2025;23
2025;23
2025;23
2025;23
2025;23
2025;23
2025;23
2025;23
2025;23
2025;23
2025;23
2025;23
2025;23
2025;23
2025;23
2025;23
2025;23
2025;23
2025;23
2025;23
2025;23
2025;23
2025;23
2025;23
2025;23
2025;23
2025;23
2025;23
2025;23
2025;23
2025;23
2025;23
2025;23
2025;23
2025;23
2025;23
2025;23
2025;23
2025;23
2025;23
2025;23
2025;23
2025;23
2025;23
2025;23
2025;23
2025;23
2025;23
2025;23
2025;23
2025;23
2025;23
2025;23
2025;23
2025;23
